"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.983428897E0,1.608099975E-2,1.241810024E-1,2.499459982E-1
3.997435290E0,1.608099975E-2,1.241810024E-1,2.499459982E-1
4.011441017E0,5.447100103E-2,3.244899958E-2,2.306710035E-1
4.025445901E0,2.985900082E-2,-3.774999827E-2,2.014960051E-1
4.039451617E0,-7.280000136E-4,-4.386699945E-2,1.705189943E-1
4.053458084E0,-7.280000136E-4,-4.386699945E-2,1.705189943E-1
4.067463795E0,4.304600134E-2,2.185099944E-2,1.879899949E-1
4.081468709E0,4.004700109E-2,3.071000054E-2,1.834940016E-1
4.095474362E0,4.004700109E-2,3.071000054E-2,1.834940016E-1
4.109480786E0,4.742199928E-2,3.105900064E-2,2.291949987E-1
4.123486502E0,5.511999875E-2,5.633499846E-2,1.628729999E-1
4.137491434E0,5.511999875E-2,5.633499846E-2,1.628729999E-1
4.151497127E0,4.615800083E-2,5.501399934E-2,2.526189983E-1
4.165503569E0,3.339299932E-2,4.493699968E-2,1.673270017E-1
4.179509257E0,5.375299975E-2,3.786699846E-2,2.038110048E-1
4.193514180E0,5.375299975E-2,3.786699846E-2,2.038110048E-1
4.207519838E0,1.896400005E-2,1.912399940E-2,1.513119936E-1
4.221526271E0,1.434599981E-2,3.094800003E-2,1.878139973E-1
4.235531925E0,1.434599981E-2,3.094800003E-2,1.878139973E-1
4.249536867E0,8.394000120E-3,1.572399959E-2,1.885849983E-1
4.263542459E0,1.590000000E-3,3.473300114E-2,2.087769955E-1
4.277548934E0,1.590000000E-3,3.473300114E-2,2.087769955E-1
4.291554665E0,2.499200031E-2,3.765600175E-2,2.265859991E-1
4.305559627E0,2.738500014E-2,4.195600003E-2,2.202930003E-1
4.319565329E0,4.277700186E-2,3.801999986E-2,2.018609941E-1
4.333571757E0,4.277700186E-2,3.801999986E-2,2.018609941E-1
4.347577414E0,2.670400031E-2,3.013899922E-2,2.136300057E-1
4.361582280E0,5.481699854E-2,3.427200019E-2,1.622380018E-1
4.375587996E0,5.481699854E-2,3.427200019E-2,1.622380018E-1
4.389594463E0,6.532300264E-2,1.834299974E-2,1.871059984E-1
4.403600164E0,1.840399951E-2,2.617900074E-2,1.282619983E-1
4.417605102E0,1.840399951E-2,2.617900074E-2,1.282619983E-1
4.431610809E0,1.300899964E-2,4.704799876E-2,1.671860069E-1
4.445617203E0,3.542599827E-2,6.211800128E-2,1.903540045E-1
4.459622886E0,2.416000003E-3,6.390699744E-2,1.964309961E-1
4.473627804E0,2.416000003E-3,6.390699744E-2,1.964309961E-1
4.487633477E0,2.665800042E-2,4.941900074E-2,2.986570001E-1
4.501639944E0,5.294499919E-2,5.356999859E-2,-1.049320027E-1
4.515645655E0,5.294499919E-2,5.356999859E-2,-1.049320027E-1
4.529650578E0,1.682000002E-3,1.037900001E-1,1.487129927E-1
4.543656279E0,6.239999831E-2,-1.368600037E-2,3.241190016E-1
4.557662789E0,6.239999831E-2,-1.368600037E-2,3.241190016E-1
4.571668569E0,4.666999914E-3,-7.073599845E-2,1.171509996E-1
