"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.908835438E0,-2.538900077E-2,-3.680000082E-3,2.278929949E-1
2.922840794E0,-2.864800021E-2,-3.675699979E-2,2.160159945E-1
2.936846861E0,-2.864800021E-2,-3.675699979E-2,2.160159945E-1
2.950853731E0,-2.270700037E-2,-4.479299858E-2,2.251500040E-1
2.964859847E0,-2.563799918E-2,-2.977900021E-2,1.992940009E-1
2.978865218E0,-2.563799918E-2,-2.977900021E-2,1.992940009E-1
2.992871356E0,-1.899000024E-3,-1.121999975E-2,1.945369989E-1
3.006878203E0,-1.410099957E-2,-2.039999963E-4,1.928550005E-1
3.020884342E0,-1.950800046E-2,4.989000037E-3,2.261980027E-1
3.034889722E0,-1.950800046E-2,4.989000037E-3,2.261980027E-1
3.048895813E0,1.273200009E-2,-1.504100021E-2,2.508170009E-1
3.062902750E0,-1.151499990E-2,-2.749999985E-4,2.352560014E-1
3.076908818E0,-1.151499990E-2,-2.749999985E-4,2.352560014E-1
3.090914222E0,-1.080400031E-2,-1.150999963E-2,2.253919989E-1
3.104920309E0,9.682999924E-3,-9.556000121E-3,2.133930027E-1
3.118927193E0,9.682999924E-3,-9.556000121E-3,2.133930027E-1
3.132933289E0,-4.970999900E-3,-2.561100014E-2,1.995519996E-1
3.146938703E0,-9.200000204E-5,-4.689999914E-4,2.087710053E-1
3.160944755E0,9.863999672E-3,4.279999994E-4,2.642540038E-1
3.174951727E0,9.863999672E-3,4.279999994E-4,2.642540038E-1
3.188957804E0,-5.045099929E-2,-4.614400119E-2,1.711010039E-1
3.202963198E0,-4.464099929E-2,-3.194399923E-2,2.257210016E-1
3.216969241E0,-4.464099929E-2,-3.194399923E-2,2.257210016E-1
3.230976164E0,4.385000095E-3,4.082600027E-2,1.926780045E-1
3.244982255E0,-4.095999897E-2,-1.272699982E-2,1.940629929E-1
3.258987640E0,-4.095999897E-2,-1.272699982E-2,1.940629929E-1
3.272993727E0,2.370399982E-2,-4.538400099E-2,3.034330010E-1
3.287000655E0,-2.340899967E-2,-8.955900371E-2,4.364269972E-1
3.301006722E0,-5.055600032E-2,-5.974800140E-2,2.321060002E-1
3.315012097E0,-5.055600032E-2,-5.974800140E-2,2.321060002E-1
3.329018193E0,-1.366200019E-2,1.796000055E-3,5.822400004E-2
3.343025107E0,7.588000037E-3,2.368300036E-2,1.588400006E-1
3.357031146E0,7.588000037E-3,2.368300036E-2,1.588400006E-1
3.371036515E0,-1.018999959E-3,-1.089899987E-2,2.425609976E-1
3.385042601E0,-1.147899963E-2,5.159999710E-4,2.851459980E-1
3.399049520E0,-1.147899963E-2,5.159999710E-4,2.851459980E-1
3.413055611E0,-1.116599981E-2,-2.883000067E-3,2.576189935E-1
3.427061006E0,-2.094599977E-2,9.641000070E-3,2.122170031E-1
3.441067092E0,-3.391399980E-2,4.732000176E-3,1.859010011E-1
3.455074001E0,-3.391399980E-2,4.732000176E-3,1.859010011E-1
3.469080068E0,-1.445700042E-2,-2.725199983E-2,2.087559998E-1
3.483085448E0,-3.663099930E-2,-6.669399887E-2,2.042520046E-1
3.497091601E0,-3.663099930E-2,-6.669399887E-2,2.042520046E-1
3.511098434E0,-3.996200114E-2,-1.827099919E-2,2.419829965E-1
3.525104496E0,-1.520099957E-2,-1.423799992E-2,1.523080021E-1
3.539109880E0,-1.520099957E-2,-1.423799992E-2,1.523080021E-1
3.553115938E0,1.817999966E-2,4.176999908E-3,2.268970013E-1
3.567122876E0,-1.744100079E-2,-2.923800051E-2,2.115660012E-1
3.581128953E0,-5.057000089E-3,-2.223699912E-2,2.576279938E-1
3.595134362E0,-5.057000089E-3,-2.223699912E-2,2.576279938E-1
3.609140531E0,-5.739999935E-3,-2.508899942E-2,2.119850069E-1
3.623147362E0,-1.888000057E-3,-5.987000186E-3,2.123450041E-1
3.637153434E0,-1.888000057E-3,-5.987000186E-3,2.123450041E-1
3.651158791E0,-3.437000141E-2,-9.464000352E-3,2.055899948E-1
3.665164958E0,-3.581399843E-2,1.369499974E-2,2.108000070E-1
3.679171814E0,-3.581399843E-2,1.369499974E-2,2.108000070E-1
3.693177896E0,-5.067999940E-3,-1.880200021E-2,2.160290033E-1
3.707183290E0,1.431499980E-2,-6.829000078E-3,2.110130042E-1
3.721189468E0,-1.816900074E-2,1.034600008E-2,1.920309961E-1
3.735196323E0,-1.816900074E-2,1.034600008E-2,1.920309961E-1
3.749202405E0,-7.903000340E-3,-9.654999711E-3,1.631540060E-1
3.763207795E0,-4.887999967E-3,-1.991000026E-2,1.803890020E-1
3.777213954E0,-4.887999967E-3,-1.991000026E-2,1.803890020E-1
3.791220776E0,1.111999969E-3,-2.712499909E-2,1.808049977E-1
3.805226877E0,-1.138199959E-2,-4.365200177E-2,2.021819949E-1
3.819232233E0,-1.138199959E-2,-4.365200177E-2,2.021819949E-1
3.833238291E0,-2.150899917E-2,-1.418500021E-2,2.007029951E-1
3.847245209E0,-2.297900058E-2,-7.818000391E-3,2.182050049E-1
3.861251266E0,-7.869999856E-3,-1.623399928E-2,2.067340016E-1
3.875256598E0,-7.869999856E-3,-1.623399928E-2,2.067340016E-1
3.889262665E0,8.162000217E-3,-1.920700073E-2,2.333700061E-1
3.903269588E0,4.395000171E-3,-1.357400045E-2,2.749480009E-1
3.917275660E0,4.395000171E-3,-1.357400045E-2,2.749480009E-1
3.931281050E0,1.201099996E-2,-1.613299921E-2,2.583459914E-1
3.945287146E0,1.543200016E-2,-9.495000355E-3,2.226310074E-1
3.959294050E0,1.543200016E-2,-9.495000355E-3,2.226310074E-1
3.973300117E0,1.462499984E-2,4.509999882E-3,2.732529938E-1
3.987305497E0,-5.052699894E-2,-2.271700092E-2,1.131609976E-1
4.001311603E0,-2.542600036E-2,-1.030899957E-2,1.492989957E-1
4.015318487E0,-2.542600036E-2,-1.030899957E-2,1.492989957E-1
4.029324549E0,2.261500061E-2,3.300999990E-3,2.257239968E-1
4.043329957E0,-4.868499935E-2,-2.670199983E-2,1.684460044E-1
4.057336034E0,-4.868499935E-2,-2.670199983E-2,1.684460044E-1
4.071342957E0,-7.842999883E-3,-6.051199883E-2,2.902770042E-1
4.085349082E0,-1.200999971E-2,-7.787699997E-2,3.597030044E-1
4.099354467E0,-1.200999971E-2,-7.787699997E-2,3.597030044E-1
4.113360549E0,-1.871700026E-2,-4.184700176E-2,1.550790071E-1
4.127367462E0,-1.454500016E-2,-3.608600050E-2,9.020300210E-2
4.141373535E0,1.075000037E-2,8.117999882E-3,1.846809983E-1
4.155378929E0,1.075000037E-2,8.117999882E-3,1.846809983E-1
4.169385035E0,5.388999823E-3,1.700000023E-3,2.282080054E-1
4.183391992E0,9.739000350E-3,1.146099996E-2,2.336360067E-1
4.197398069E0,9.739000350E-3,1.146099996E-2,2.336360067E-1
4.211403433E0,-6.725000218E-3,9.800000116E-3,2.310180068E-1
4.225409505E0,-1.856799982E-2,2.190000005E-2,2.035170048E-1
4.239416366E0,-1.856799982E-2,2.190000005E-2,2.035170048E-1
4.253422529E0,-3.286800161E-2,-1.272900030E-2,2.185329944E-1
4.267427919E0,-2.301299945E-2,-5.241199955E-2,2.313860059E-1
4.281433977E0,-1.191799995E-2,-6.936500221E-2,2.317530066E-1
4.295440813E0,-1.191799995E-2,-6.936500221E-2,2.317530066E-1
4.309446957E0,-1.803899929E-2,-3.004799969E-2,2.562699914E-1
4.323452333E0,1.324099954E-2,-8.620999753E-3,1.602910012E-1
4.337458395E0,1.324099954E-2,-8.620999753E-3,1.602910012E-1
4.351465203E0,3.428599983E-2,-6.707999855E-3,1.986020058E-1
4.365471342E0,1.579000033E-3,-3.821099922E-2,2.088840008E-1
4.379476707E0,1.579000033E-3,-3.821099922E-2,2.088840008E-1
4.393482774E0,-1.386300009E-2,-3.934000060E-2,2.219199985E-1
4.407489611E0,-1.891900040E-2,-2.395899966E-2,1.889970005E-1
4.421495789E0,-1.833499968E-2,-1.932200044E-2,2.141319960E-1
4.435501102E0,-1.833499968E-2,-1.932200044E-2,2.141319960E-1
4.449507241E0,-3.307199851E-2,-6.053000223E-3,2.342060059E-1
4.463514064E0,-1.768299937E-2,-2.551499940E-2,2.713499963E-1
4.477520204E0,-1.768299937E-2,-2.551499940E-2,2.713499963E-1
4.491525549E0,7.029999979E-3,-3.643099964E-2,2.560409904E-1
4.505531722E0,-2.964999992E-3,-1.852199994E-2,2.085240036E-1
4.519538568E0,-2.964999992E-3,-1.852199994E-2,2.085240036E-1
4.533544751E0,-2.466299944E-2,-5.975999869E-3,1.991019994E-1
4.547550077E0,-4.335000180E-3,-5.537000019E-3,1.904949993E-1
4.561556226E0,-3.340300173E-2,-2.474199980E-2,2.069420069E-1
4.575563087E0,-3.340300173E-2,-2.474199980E-2,2.069420069E-1
4.589569246E0,-1.308900025E-2,-3.133799881E-2,2.343309969E-1
4.603574539E0,-9.008999914E-3,-4.861199856E-2,2.387710065E-1
4.617580674E0,-9.008999914E-3,-4.861199856E-2,2.387710065E-1
4.631587534E0,-1.160500012E-2,-3.176200017E-2,2.300699949E-1
4.645593631E0,-1.104099955E-2,-4.731399938E-2,2.252860069E-1
4.659599055E0,-1.104099955E-2,-4.731399938E-2,2.252860069E-1
4.673605204E0,5.700000111E-5,-2.753599919E-2,2.187370062E-1
4.687612040E0,-1.408199966E-2,-2.528299950E-2,2.241149992E-1
4.701618108E0,-1.681599952E-2,-3.324000165E-2,2.334650010E-1
4.715623487E0,-1.681599952E-2,-3.324000165E-2,2.334650010E-1
4.729629583E0,-1.733000041E-3,-1.679800078E-2,2.317090034E-1
4.743636525E0,-1.261899993E-2,3.426000010E-3,2.339009941E-1
4.757642597E0,-1.261899993E-2,3.426000010E-3,2.339009941E-1
4.771648006E0,-1.407499984E-2,-7.670000196E-3,2.340269983E-1
4.785654074E0,-2.898100019E-2,-4.360400140E-2,2.130209953E-1
4.799661001E0,-2.898100019E-2,-4.360400140E-2,2.130209953E-1
4.813667093E0,-1.977499947E-2,-1.418299973E-2,2.147579938E-1
4.827672483E0,-1.276499964E-2,-3.192399815E-2,1.976329982E-1
4.841678521E0,-1.116499957E-2,-2.526899986E-2,2.056030035E-1
4.855685459E0,-1.116499957E-2,-2.526899986E-2,2.056030035E-1
4.869691535E0,-4.710000067E-4,-1.864499971E-2,2.198909968E-1
4.883696948E0,-2.590800077E-2,-5.630100146E-2,1.425479949E-1
4.897703054E0,-2.590800077E-2,-5.630100146E-2,1.425479949E-1
4.911709973E0,-1.036399975E-2,-3.157600015E-2,1.782290041E-1
4.925716102E0,2.668599971E-2,9.535999969E-3,2.170619965E-1
4.939721482E0,2.668599971E-2,9.535999969E-3,2.170619965E-1
4.953727574E0,-4.746599868E-2,-2.664799988E-2,1.170919985E-1
4.967734425E0,-1.196000027E-3,-5.068099871E-2,2.747179866E-1
4.981740564E0,-2.615999896E-3,-1.116840020E-1,3.890219927E-1
4.995745877E0,-2.615999896E-3,-1.116840020E-1,3.890219927E-1
5.009752031E0,-1.188699994E-2,-9.129499644E-2,2.160969973E-1
5.023758877E0,-1.361100003E-2,-5.050599948E-2,1.007340029E-1
5.037765055E0,-1.361100003E-2,-5.050599948E-2,1.007340029E-1
5.051770377E0,1.536300033E-2,-9.072000161E-3,1.727689952E-1
5.065776500E0,-5.903999787E-3,-2.625299990E-2,2.246980071E-1
5.079783343E0,-5.903999787E-3,-2.625299990E-2,2.246980071E-1
5.093789515E0,-4.139999859E-3,-2.594700083E-2,2.464109957E-1
