"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.909826935E0,2.827000106E-3,-2.595699951E-2,2.202000022E-1
4.923831790E0,2.175400034E-2,-3.550000116E-2,2.231159955E-1
4.937837396E0,2.175400034E-2,-3.550000116E-2,2.231159955E-1
4.951843795E0,9.693000466E-3,-1.553499978E-2,2.029509991E-1
4.965849425E0,9.878999554E-3,-3.485000134E-2,2.173860073E-1
4.979854390E0,9.878999554E-3,-3.485000134E-2,2.173860073E-1
4.993859957E0,1.745299995E-2,-1.879299991E-2,2.138500065E-1
5.007866366E0,2.322000079E-2,-4.052999988E-2,2.183319926E-1
5.021871967E0,2.322000079E-2,-4.052999988E-2,2.183319926E-1
5.035876843E0,2.451200038E-2,-1.960900053E-2,1.918759942E-1
5.049882467E0,1.995800063E-2,-1.477599982E-2,1.968100071E-1
5.063888891E0,9.940999560E-3,-2.845500037E-2,2.399509996E-1
5.077894525E0,9.940999560E-3,-2.845500037E-2,2.399509996E-1
5.091899371E0,3.922000062E-3,-3.304899856E-2,2.676149905E-1
5.105904967E0,1.715900004E-2,-2.799299918E-2,2.380419970E-1
5.119911371E0,1.715900004E-2,-2.799299918E-2,2.380419970E-1
5.133917006E0,-1.238999981E-2,-1.351100020E-2,2.338549942E-1
5.147921847E0,6.604999769E-3,-7.087000180E-3,2.552739978E-1
5.161927500E0,6.604999769E-3,-7.087000180E-3,2.552739978E-1
5.175933876E0,-1.395700034E-2,-1.177099999E-2,1.714629978E-1
5.189939443E0,3.185699880E-2,-2.481699921E-2,2.220329940E-1
5.203944290E0,6.337399781E-2,-3.580100089E-2,2.618040144E-1
5.217949996E0,6.337399781E-2,-3.580100089E-2,2.618040144E-1
5.231956290E0,3.376099840E-2,-5.307599902E-2,1.872269958E-1
5.245961866E0,5.478600040E-2,-5.913800001E-2,1.473660022E-1
5.259966731E0,5.478600040E-2,-5.913800001E-2,1.473660022E-1
5.273972347E0,3.906200081E-2,-5.244800076E-2,3.057059944E-1
5.287978698E0,1.334199961E-2,-1.760699973E-2,2.839320004E-1
5.301984290E0,1.334199961E-2,-1.760699973E-2,2.839320004E-1
5.315989126E0,-2.089400031E-2,2.888100035E-2,1.999720037E-1
5.329994683E0,-1.821400039E-2,7.418999914E-3,2.169989944E-1
5.344001035E0,-1.402099989E-2,-3.617800027E-2,2.051230073E-1
